code;name;calories;protein;fat;carbo;fiber
2512376;Flour, barley;-;8,72;2,45;77,4;12,8
2512377;Flour, cassava;-;0,918;0,494;87,3;4,83
2512378;Buckwheat, whole grain;-;11,1;3,04;71,1;4,05
2512379;Millet, whole grain;-;10;4,19;74,4;2,62
2512380;Rice, brown, long grain, unenriched, raw;-;7,25;3,31;76,7;3,02
2512381;Rice, white, long grain, unenriched, raw;-;7,04;1,03;80,3;0,149
2514743;Beef, ground, 90% lean meat / 10% fat, raw;-;18,2;12,8;-;-
2514744;Beef, ground, 80% lean meat / 20% fat, raw;-;17,5;19,4;-;-
2514745;Pork, ground, raw;-;17,8;17,5;-;-
2514746;Chicken, ground, with additives, raw;-;17,9;7,16;-;-
2514747;Turkey, ground, 93% lean/ 7% fat, raw;-;17,3;9,59;-;-
2515373;Nuts, brazilnuts, raw;-;15;57,4;21,6;5,98
2515374;Nuts, cashew nuts, raw;-;17,4;38,9;36,3;4,1
2515375;Nuts, hazelnuts or filberts, raw;-;13,5;53,5;26,5;8,41
2515376;Peanuts, raw;-;23,2;43,3;26,5;8,01
2515377;Flour, chestnut;-;5,29;4,64;80,5;8,71
2515378;Nuts, macadamia nuts, raw;-;7,79;64,9;24,1;7,56
2515379;Nuts, pistachio nuts, raw;-;20,5;45;27,7;6,97
2515380;Seeds, pumpkin seeds (pepitas), raw;-;29,9;40;18,7;5,08
2515381;Seeds, sunflower seed, kernel, raw;-;18,9;48,4;24,5;7,22
2515382;Flour, coconut;-;16,1;15,3;58,9;34,2
2644281;Beans, cannellini, dry;-;21,6;2,2;59,8;-
2644282;Chickpeas, (garbanzo beans, bengal gram), dry;-;21,3;6,27;60,4;-
2644283;Lentils, dry;-;23,6;1,92;62,2;-
2644284;Blackeye pea, dry;-;21,2;2,42;61,8;-
2644285;Beans, black, canned, sodium added, drained and rinsed;-;6,91;1,27;19,8;-
2644286;Beans, navy, canned, sodium added, drained and rinsed;-;6,57;1,4;20;-
2644287;Beans, cannellini, canned, sodium added, drained and rinsed;-;7,41;1,17;18,8;-
2644288;Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed;-;7,02;3,1;20,3;-
2644289;Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed;-;7,8;1,26;21;-
2644290;Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed;-;7,31;1,3;21,4;-
2644291;Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed;-;4,73;1,15;12,7;-
2644292;Beans, pinto, canned, sodium added, drained and rinsed;-;6,69;1,27;19,6;-
2644293;Blackeye pea, canned, sodium added, drained and rinsed;-;6,92;1,3;19,2;-
2644294;Beans, great northern, canned, sodium added, drained and rinsed;-;7,03;1,27;19,3;-
2646168;Pork, loin, boneless, raw;-;21,1;9,47;-;-
2646169;Pork, loin, tenderloin, boneless, raw;-;21,6;3,9;-;-
2646170;Chicken, breast, boneless, skinless, raw;-;22,5;1,93;-;-
2646171;Chicken, thigh, boneless, skinless, raw;-;18,6;7,92;-;-
2646172;Beef, ribeye, steak, boneless, choice, raw;-;18,7;20;-;-
2646173;Beef, round, top round, boneless, choice, raw;-;21,5;5,7;0,852;-
2646174;Beef, chuck, roast, boneless, choice, raw;-;18,4;17,8;-;-
2646175;Beef, flank, steak, boneless, choice, raw;-;20,1;9,4;-;-
