code;name;calories;protein;fat;carbo;fiber
2707976;Cookie, vanilla sandwich, extra filling;497;4,33;24,5;68,2;2,7
2707977;Cookie, vanilla sandwich, reduced fat;423;4,17;10,4;78,2;2,1
2707978;Cookie, butter or sugar, with chocolate icing or filling;503;4,1;23,5;68,8;1,9
2707979;Cookie, butter or sugar, with icing or filling other than chocolate;433;3,38;14,9;72,7;0,4
2707980;Cookie, tea, Japanese;378;4,2;2,7;84;1,6
2707981;Cookie, vanilla wafer;455;4,9;16,4;72,6;1,6
2707982;Cookie, vanilla wafer, reduced fat;441;5;15,2;73,6;1,9
2707983;Cookie, vanilla with caramel, coconut, and chocolate coating;489;3,5;25,8;64,1;4,4
2707984;Cookie, rugelach;348;3,7;7,3;70,9;4,6
2707985;Cookie, chocolate chip, reduced sugar;450;3,9;16,8;73,4;1,6
2707986;Cookie, oatmeal, reduced sugar;449;4,8;18;69,9;2,9
2707987;Cookie, sandwich, reduced sugar;461;4,5;22,1;68;4,1
2707988;Cookie, sugar or plain, sugar free;523;10,3;31;50,5;3,4
2707989;Cookie, sugar wafer, sugar free;531;3,57;28,6;66,3;14,3
2707990;Cookie, peanut butter, sugar free;523;10,3;31;50,5;3,4
2707991;Cookie, gluten free;474;2,19;17,9;76;2,5
2707992;Cookies, Puerto Rican style;506;6,32;23,2;67,9;1,6
2707993;Pie, NFS;296;2,7;15,3;37,6;1,8
2707994;Tart, all types;316;3;16,1;42,6;2,6
2707995;Pie, apple;296;2,7;15,3;37,6;1,8
2707996;Pie, apple, fast food;316;3;16,1;42,6;2,6
2707997;Pie, berry;306;3,16;15,4;39,5;3,6
2707998;Pie, blueberry;300;2,82;15,5;38;2,5
2707999;Pie, cherry;311;2,95;15,3;40,9;1,9
2708000;Pie, lemon;280;2,41;16,2;31,5;0,7
2708001;Pie, key lime;322;5,78;14,9;42,2;0,3
2708002;Pie, peach;296;2,83;15,3;37,1;1,9
2708003;Pie, strawberry;289;2,88;11,6;44,2;2,2
2708004;Pie, banana cream;284;2,42;16,2;32,4;0,7
2708005;Pie, chocolate cream;291;2,75;16,7;32,5;0,7
2708006;Pie, coconut cream;297;2,55;17,8;32;1,1
2708007;Pie, custard;210;5,5;11,6;20,8;1,6
2708008;Dessert pizza;204;1,84;7,53;32,4;1,7
2708009;Pie, peanut butter cream;421;5,92;30,1;33,1;1,1
2708010;Pie, pineapple cream;274;2,36;15,6;31,2;0,7
2708011;Pie, pumpkin;249;4,76;9,78;36,3;1,7
2708012;Pie, sweet potato;269;4,96;9,75;41,1;1,3
2708013;Pie, vanilla cream;286;2,46;16,3;32,3;0,7
2708014;Pie, lemon meringue;294;4,53;11,3;43,7;1,1
2708015;Pie, pecan;449;6,02;25,2;49,5;1,9
2708016;Pie, oatmeal;396;6,14;16;56,9;2,2
2708017;Pie shell;508;6,5;28,6;56,2;3,3
2708018;Pie shell, graham cracker;501;5,1;24,8;64,3;1,9
2708019;Cobbler, apple;217;2,05;8,66;33,6;1,6
2708020;Cobbler, berry;231;2,66;8,86;36,2;4
2708021;Cobbler, cherry;237;2,37;8,69;38,1;1,8
